l,a_quad_tex,b_quad_tex,c_quad,v0_first
0,$1\pi^2$,$-1\pi^2$,2.4674011003423755,2.4674011002724123
1,$1\pi^2$,$0\pi^2$,1.0973788796167752e-10,9.869604401089394
2,$1\pi^2$,$1\pi^2$,0.4660367768834761,20.19072855642667
3,$1\pi^2$,$2\pi^2$,3.843804665710109,33.21746191426837
4,$1\pi^2$,$3\pi^2$,10.112772790674692,48.8311936436192
5,$1\pi^2$,$4\pi^2$,19.254402138857348,66.95431192510479
6,$1\pi^2$,$5\pi^2$,31.248812850888047,87.53122025713414
7,$1\pi^2$,$6\pi^2$,46.08172329839521,110.51970831767493
8,$1\pi^2$,$7\pi^2$,63.73087702190152,135.886399537363
9,$1\pi^2$,$8\pi^2$,84.18893678988596,163.60409680332043
10,$1\pi^2$,$9\pi^2$,107.42735397185086,193.6501189270393
